"Category","Requirement","Acceptance Criteria","Priority","Vendor Response","Vendor Comments"
"Separation of Duties","The IGA solution must include built-in SoD conflict detection across all connected applications with a configurable rule library.","Demonstrate SoD rule configuration and real-time conflict detection during access requests before provisioning occurs.","Critical","",""
"Separation of Duties","The platform must support import of existing SoD rulesets and allow ongoing expansion and refinement of rules as business requirements evolve.","Explain the process for importing existing SoD rules. Describe versioning and update management for the SoD rule library.","High","",""
"Separation of Duties","The solution must provide SoD violation dashboards and reports for compliance and audit teams with drill-down to individual user-entitlement conflicts.","Show a sample SoD compliance dashboard. Demonstrate drill-down from summary to individual violation detail including remediation status.","High","",""
"Role Management","The IGA platform must support a full enterprise role model including business roles and IT roles with complete lifecycle management from creation to deprecation.","Describe the role model architecture and lifecycle workflow. Show how business roles are composed from IT roles.","High","",""
"Role Management","The solution must include role mining and role health analytics to identify redundant, unused, or risk-prone roles within the environment.","Demonstrate role mining using historical access data. Define role health metrics and show how unhealthy roles are identified and remediated.","Medium","",""
"Role Management","The platform must support AI-generated entitlement descriptions to improve clarity and reduce reviewer fatigue during access certification campaigns.","Show an example of AI-generated entitlement descriptions. Describe accuracy validation before descriptions are published to reviewers.","Medium","",""
"Integration & Connectivity","The IGA solution must provide certified integration with Microsoft Active Directory and Azure Active Directory as both authoritative sources and provisioning targets.","Confirm AD and Azure AD integration. Provide documentation on sync frequency, attribute mapping, writeback capabilities, and conflict resolution.","Critical","",""
"Integration & Connectivity","The platform must support SCIM 2.0 provisioning to all compatible applications and provide an integration framework for custom and legacy systems.","List all SCIM 2.0 certified integrations. Describe the approach for building connectors for legacy or proprietary applications.","High","",""
"Integration & Connectivity","The solution must integrate with existing ITSM tooling for access request fulfilment and provisioning events that require manual handling.","Provide documentation on ITSM integration capabilities. Show ticket creation from a provisioning event and describe bi-directional status sync.","High","",""
"Integration & Connectivity","The IGA platform must support governance of privileged accounts and service accounts with vaulting and just-in-time access provisioning capabilities.","Describe native PAM capabilities or certified third-party PAM integrations. Explain how privileged accounts are discovered and governed within the IGA platform.","High","",""
"Security & Compliance","The vendor must hold current SOC 2 Type II and ISO 27001 certifications. Canadian federal compliance (CCCS Medium or equivalent) is preferred.","Provide current SOC 2 Type II and ISO 27001 certificates. Describe the audit schedule and any additional compliance frameworks supported.","Critical","",""
"Security & Compliance","The IGA platform must maintain immutable audit logs for all identity events with a minimum 7-year retention period and integration with external SIEM platforms.","Demonstrate audit log architecture and tamper-protection controls. Provide retention policy documentation and SIEM integration options.","Critical","",""
"Security & Compliance","The solution must enforce multi-factor authentication for all administrative access to the IGA platform and apply least-privilege principles to platform administrators.","Describe MFA options for admin access. Show how administrative roles are defined and how least-privilege is enforced within the platform.","High","",""
"AI & Automation","The IGA solution must leverage AI and machine learning to provide intelligent access recommendations during certifications, supporting auto-approval for low-risk and enhanced review for high-risk items.","Describe the AI model used for access recommendations. Provide accuracy metrics and false-positive rates from production deployments.","High","",""
"AI & Automation","The platform must support identity lifecycle management for AI agents and non-human identities with governance policies distinct from human identity management.","Describe how AI agent identities are onboarded, managed, and decommissioned. Explain how NHI entitlements are reviewed and governed.","High","",""
"AI & Automation","The solution must provide automated anomaly detection for unusual access patterns with alerting to security operations teams.","Show anomaly detection scenario examples. Describe the alerting mechanism and SIEM or SOC platform integration options.","Medium","",""
"Technical Platform","The IGA platform must be delivered as a multi-tenant SaaS solution with a minimum 99.9% uptime SLA and documented disaster recovery procedures.","Provide current SLA documentation and historical uptime metrics for the past 12 months. Describe RTO and RPO targets for disaster recovery.","Critical","",""
"Technical Platform","The solution must provide a fully documented RESTful API for all platform functions to support customer-built integrations and automation pipelines.","Provide API documentation and versioning strategy. Share example customer-built integration use cases and SDK availability.","High","",""
"Technical Platform","The vendor must provide a no-code workflow automation capability allowing non-technical administrators to build and modify identity processes without developer involvement.","Demonstrate a workflow built using the no-code tool. Describe available triggers, conditions, and actions for non-technical administrators.","Medium","",""
"Support & Services","The vendor must provide a dedicated implementation team with certified IGA consultants and a documented project methodology for enterprise-scale deployments.","Describe the implementation methodology and team structure. Provide a sample project plan and references from comparable deployments.","Critical","",""
"Support & Services","The solution must include a named customer success program with quarterly business reviews and access to a technical account manager following go-live.","Describe the post-implementation support model and SLA tiers for P1, P2, and P3 incidents. Include escalation procedures.","High","",""
"Support & Services","The vendor must offer administrator certification training and self-service documentation to support ongoing platform education for customer teams.","List available training programs and certifications. Describe delivery formats and whether training is included in the base license.","Medium","",""
